<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20170508,00:00,116.2300000,117.9700000,114.0700000,115.3500000,24414190
MOEX,W,20170515,00:00,109.1000000,109.8700000,102.1300000,102.5000000,42825020
MOEX,W,20170522,00:00,102.6500000,104.7800000,97.5800000,97.5800000,42327650
MOEX,W,20170529,00:00,97.7700000,102.3500000,97.0200000,101.9000000,48127500
MOEX,W,20170605,00:00,102.1400000,106.4500000,101.5300000,106.1500000,51261740
MOEX,W,20170612,00:00,105.9300000,108.3900000,100.1000000,103.1200000,53204070
MOEX,W,20170619,00:00,103.7500000,108.8000000,102.9000000,106.8000000,34189080
MOEX,W,20170626,00:00,107.2800000,109.6200000,104.1100000,104.3300000,38312480
MOEX,W,20170703,00:00,104.9700000,109.5000000,104.6200000,108.9000000,30617700
MOEX,W,20170710,00:00,109.0000000,115.1100000,108.7500000,111.3800000,37149160
MOEX,W,20170717,00:00,111.6200000,114.0000000,109.2000000,109.9000000,32421780
MOEX,W,20170724,00:00,109.4900000,111.2600000,107.1500000,108.9000000,33300380
MOEX,W,20170731,00:00,109.0700000,111.1900000,106.8000000,109.2100000,26917490
MOEX,W,20170807,00:00,109.5700000,115.0400000,109.5200000,111.9200000,36971940
MOEX,W,20170814,00:00,112.2000000,116.3700000,109.0200000,109.4000000,37452370
MOEX,W,20170821,00:00,110.3200000,110.3500000,105.7500000,107.2700000,35980470
MOEX,W,20170828,00:00,107.2000000,107.2600000,104.5600000,105.2500000,37398250
MOEX,W,20170904,00:00,105.2600000,113.9900000,105.2300000,111.6900000,44550120
MOEX,W,20170911,00:00,112.0000000,114.8000000,111.2500000,113.9400000,33034650
MOEX,W,20170918,00:00,114.1800000,117.9000000,113.5000000,116.0300000,33838800
MOEX,W,20170925,00:00,116.0300000,117.6500000,114.0900000,115.5000000,34765830
MOEX,W,20171002,00:00,115.6900000,120.3900000,115.4800000,119.6900000,41040820
MOEX,W,20171009,00:00,119.7100000,120.6500000,117.0500000,120.4900000,38448130
